STATION,ELEMENT,YEAR,MONTH,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,
0-20000-0-11723,SRA,1958,01,07:00,MAX,"",,,
0-20000-0-11723,SRA,1958,01,07:00,SUM,"",,,
0-20000-0-11723,SRA,1958,02,07:00,MAX,"",,,
0-20000-0-11723,SRA,1958,02,07:00,SUM,"",,,
0-20000-0-11723,SRA,1958,03,07:00,MAX,"",,,
0-20000-0-11723,SRA,1958,03,07:00,SUM,"",,,
0-20000-0-11723,SRA,1958,04,07:00,MAX,"",,,
0-20000-0-11723,SRA,1958,04,07:00,SUM,"",,,
0-20000-0-11723,SRA,1958,05,07:00,MAX,5.0,,,
0-20000-0-11723,SRA,1958,05,07:00,SUM,15.6,,,
0-20000-0-11723,SRA,1958,06,07:00,MAX,19.3,,,
0-20000-0-11723,SRA,1958,06,07:00,SUM,117.7,,,
0-20000-0-11723,SRA,1958,07,07:00,MAX,8.3,,,
0-20000-0-11723,SRA,1958,07,07:00,SUM,33.0,,,
0-20000-0-11723,SRA,1958,08,07:00,MAX,19.8,,,
0-20000-0-11723,SRA,1958,08,07:00,SUM,75.4,,,
0-20000-0-11723,SRA,1958,09,07:00,MAX,15.2,,,
0-20000-0-11723,SRA,1958,09,07:00,SUM,36.4,,,
0-20000-0-11723,SRA,1958,10,07:00,MAX,21.2,,,
0-20000-0-11723,SRA,1958,10,07:00,SUM,52.8,,,
0-20000-0-11723,SRA,1958,11,07:00,MAX,4.8,,,
0-20000-0-11723,SRA,1958,11,07:00,SUM,20.6,,,
0-20000-0-11723,SRA,1958,12,07:00,MAX,20.1,,,
0-20000-0-11723,SRA,1958,12,07:00,SUM,48.3,,,
0-20000-0-11723,SRA,1959,01,07:00,MAX,6.9,,,
0-20000-0-11723,SRA,1959,01,07:00,SUM,16.4,,,
0-20000-0-11723,SRA,1959,02,07:00,MAX,1.7,,,
0-20000-0-11723,SRA,1959,02,07:00,SUM,3.0,,,
0-20000-0-11723,SRA,1959,03,07:00,MAX,17.6,,,
0-20000-0-11723,SRA,1959,03,07:00,SUM,22.9,,,
0-20000-0-11723,SRA,1959,04,07:00,MAX,8.3,,,
0-20000-0-11723,SRA,1959,04,07:00,SUM,31.0,,,
0-20000-0-11723,SRA,1959,05,07:00,MAX,20.8,,,
0-20000-0-11723,SRA,1959,05,07:00,SUM,54.4,,,
0-20000-0-11723,SRA,1959,06,07:00,MAX,25.3,,,
0-20000-0-11723,SRA,1959,06,07:00,SUM,95.6,,,
0-20000-0-11723,SRA,1959,07,07:00,MAX,35.2,,,
0-20000-0-11723,SRA,1959,07,07:00,SUM,123.8,,,
0-20000-0-11723,SRA,1959,08,07:00,MAX,12.2,,,
0-20000-0-11723,SRA,1959,08,07:00,SUM,37.3,,,
0-20000-0-11723,SRA,1959,09,07:00,MAX,0.1,,,
0-20000-0-11723,SRA,1959,09,07:00,SUM,0.1,,,
0-20000-0-11723,SRA,1959,10,07:00,MAX,4.0,,,
0-20000-0-11723,SRA,1959,10,07:00,SUM,6.3,,,
0-20000-0-11723,SRA,1959,11,07:00,MAX,7.6,,,
0-20000-0-11723,SRA,1959,11,07:00,SUM,24.7,,,
0-20000-0-11723,SRA,1959,12,07:00,MAX,29.6,,,
0-20000-0-11723,SRA,1959,12,07:00,SUM,74.4,,,
0-20000-0-11723,SRA,1960,01,07:00,MAX,8.6,,,
0-20000-0-11723,SRA,1960,01,07:00,SUM,23.7,,,
0-20000-0-11723,SRA,1960,02,07:00,MAX,19.6,,,
0-20000-0-11723,SRA,1960,02,07:00,SUM,21.6,,,
0-20000-0-11723,SRA,1960,03,07:00,MAX,20.5,,,
0-20000-0-11723,SRA,1960,03,07:00,SUM,41.7,,,
0-20000-0-11723,SRA,1960,04,07:00,MAX,6.3,,,
0-20000-0-11723,SRA,1960,04,07:00,SUM,10.3,,,
0-20000-0-11723,SRA,1960,05,07:00,MAX,43.7,,,
0-20000-0-11723,SRA,1960,05,07:00,SUM,105.7,,,
0-20000-0-11723,SRA,1960,06,07:00,MAX,30.2,,,
0-20000-0-11723,SRA,1960,06,07:00,SUM,82.8,,,
0-20000-0-11723,SRA,1960,07,07:00,MAX,18.8,,,
0-20000-0-11723,SRA,1960,07,07:00,SUM,69.3,,,
0-20000-0-11723,SRA,1960,08,07:00,MAX,33.0,,,
0-20000-0-11723,SRA,1960,08,07:00,SUM,103.6,,,
0-20000-0-11723,SRA,1960,09,07:00,MAX,38.5,,,
0-20000-0-11723,SRA,1960,09,07:00,SUM,61.4,,,
0-20000-0-11723,SRA,1960,10,07:00,MAX,18.2,,,
0-20000-0-11723,SRA,1960,10,07:00,SUM,62.8,,,
0-20000-0-11723,SRA,1960,11,07:00,MAX,4.4,,,
0-20000-0-11723,SRA,1960,11,07:00,SUM,14.2,,,
0-20000-0-11723,SRA,1960,12,07:00,MAX,6.1,,,
0-20000-0-11723,SRA,1960,12,07:00,SUM,29.9,,,
0-20000-0-11723,SRA,1961,01,07:00,MAX,8.5,,,
0-20000-0-11723,SRA,1961,01,07:00,SUM,15.9,,,
0-20000-0-11723,SRA,1961,02,07:00,MAX,7.3,,,
0-20000-0-11723,SRA,1961,02,07:00,SUM,18.2,,,
0-20000-0-11723,SRA,1961,03,07:00,MAX,1.5,,,
0-20000-0-11723,SRA,1961,03,07:00,SUM,5.6,,,
0-20000-0-11723,SRA,1961,04,07:00,MAX,23.0,,,
0-20000-0-11723,SRA,1961,04,07:00,SUM,29.1,,,
0-20000-0-11723,SRA,1961,05,07:00,MAX,23.9,,,
0-20000-0-11723,SRA,1961,05,07:00,SUM,73.5,,,
0-20000-0-11723,SRA,1961,06,07:00,MAX,15.6,,,
0-20000-0-11723,SRA,1961,06,07:00,SUM,54.1,,,
0-20000-0-11723,SRA,1961,07,07:00,MAX,13.1,,,
0-20000-0-11723,SRA,1961,07,07:00,SUM,53.6,,,
0-20000-0-11723,SRA,1961,08,07:00,MAX,6.8,,,
0-20000-0-11723,SRA,1961,08,07:00,SUM,24.5,,,
0-20000-0-11723,SRA,1961,09,07:00,MAX,9.9,,,
0-20000-0-11723,SRA,1961,09,07:00,SUM,19.7,,,
0-20000-0-11723,SRA,1961,10,07:00,MAX,22.2,,,
0-20000-0-11723,SRA,1961,10,07:00,SUM,54.7,,,
0-20000-0-11723,SRA,1961,11,07:00,MAX,20.3,,,
0-20000-0-11723,SRA,1961,11,07:00,SUM,51.1,,,
0-20000-0-11723,SRA,1961,12,07:00,MAX,14.6,,,
0-20000-0-11723,SRA,1961,12,07:00,SUM,30.3,,,
0-20000-0-11723,SRA,1962,01,07:00,MAX,11.7,,,
0-20000-0-11723,SRA,1962,01,07:00,SUM,23.3,,,
0-20000-0-11723,SRA,1962,02,07:00,MAX,8.4,,,
0-20000-0-11723,SRA,1962,02,07:00,SUM,23.6,,,
0-20000-0-11723,SRA,1962,03,07:00,MAX,12.8,,,
0-20000-0-11723,SRA,1962,03,07:00,SUM,48.7,,,
0-20000-0-11723,SRA,1962,04,07:00,MAX,12.0,,,
0-20000-0-11723,SRA,1962,04,07:00,SUM,37.8,,,
0-20000-0-11723,SRA,1962,05,07:00,MAX,43.8,,,
0-20000-0-11723,SRA,1962,05,07:00,SUM,117.8,,,
0-20000-0-11723,SRA,1962,06,07:00,MAX,16.6,,,
0-20000-0-11723,SRA,1962,06,07:00,SUM,31.0,,,
0-20000-0-11723,SRA,1962,07,07:00,MAX,10.4,,,
0-20000-0-11723,SRA,1962,07,07:00,SUM,42.0,,,
0-20000-0-11723,SRA,1962,08,07:00,MAX,9.6,,,
0-20000-0-11723,SRA,1962,08,07:00,SUM,16.9,,,
0-20000-0-11723,SRA,1962,09,07:00,MAX,20.0,,,
0-20000-0-11723,SRA,1962,09,07:00,SUM,36.6,,,
0-20000-0-11723,SRA,1962,10,07:00,MAX,21.5,,,
0-20000-0-11723,SRA,1962,10,07:00,SUM,39.2,,,
0-20000-0-11723,SRA,1962,11,07:00,MAX,19.0,,,
0-20000-0-11723,SRA,1962,11,07:00,SUM,84.2,,,
0-20000-0-11723,SRA,1962,12,07:00,MAX,11.8,,,
0-20000-0-11723,SRA,1962,12,07:00,SUM,22.1,,,
0-20000-0-11723,SRA,1963,01,07:00,MAX,4.5,,,
0-20000-0-11723,SRA,1963,01,07:00,SUM,21.3,,,
0-20000-0-11723,SRA,1963,02,07:00,MAX,13.4,,,
0-20000-0-11723,SRA,1963,02,07:00,SUM,17.7,,,
0-20000-0-11723,SRA,1963,03,07:00,MAX,12.8,,,
0-20000-0-11723,SRA,1963,03,07:00,SUM,31.0,,,
0-20000-0-11723,SRA,1963,04,07:00,MAX,15.5,,,
0-20000-0-11723,SRA,1963,04,07:00,SUM,26.6,,,
0-20000-0-11723,SRA,1963,05,07:00,MAX,26.7,,,
0-20000-0-11723,SRA,1963,05,07:00,SUM,83.6,,,
0-20000-0-11723,SRA,1963,06,07:00,MAX,29.0,,,
0-20000-0-11723,SRA,1963,06,07:00,SUM,88.1,,,
0-20000-0-11723,SRA,1963,07,07:00,MAX,4.0,,,
0-20000-0-11723,SRA,1963,07,07:00,SUM,11.3,,,
0-20000-0-11723,SRA,1963,08,07:00,MAX,32.5,,,
0-20000-0-11723,SRA,1963,08,07:00,SUM,105.5,,,
0-20000-0-11723,SRA,1963,09,07:00,MAX,27.9,,,
0-20000-0-11723,SRA,1963,09,07:00,SUM,56.5,,,
0-20000-0-11723,SRA,1963,10,07:00,MAX,8.1,,,
0-20000-0-11723,SRA,1963,10,07:00,SUM,17.9,,,
0-20000-0-11723,SRA,1963,11,07:00,MAX,8.0,,,
0-20000-0-11723,SRA,1963,11,07:00,SUM,31.1,,,
0-20000-0-11723,SRA,1963,12,07:00,MAX,2.4,,,
0-20000-0-11723,SRA,1963,12,07:00,SUM,5.1,,,
0-20000-0-11723,SRA,1964,01,07:00,MAX,1.0,,,
0-20000-0-11723,SRA,1964,01,07:00,SUM,1.8,,,
0-20000-0-11723,SRA,1964,02,07:00,MAX,3.5,,,
0-20000-0-11723,SRA,1964,02,07:00,SUM,9.8,,,
0-20000-0-11723,SRA,1964,03,07:00,MAX,8.5,,,
0-20000-0-11723,SRA,1964,03,07:00,SUM,34.4,,,
0-20000-0-11723,SRA,1964,04,07:00,MAX,5.9,,,
0-20000-0-11723,SRA,1964,04,07:00,SUM,16.8,,,
0-20000-0-11723,SRA,1964,05,07:00,MAX,17.7,,,
0-20000-0-11723,SRA,1964,05,07:00,SUM,58.4,,,
0-20000-0-11723,SRA,1964,06,07:00,MAX,8.6,,,
0-20000-0-11723,SRA,1964,06,07:00,SUM,43.4,,,
0-20000-0-11723,SRA,1964,07,07:00,MAX,17.2,,,
0-20000-0-11723,SRA,1964,07,07:00,SUM,53.6,,,
0-20000-0-11723,SRA,1964,08,07:00,MAX,28.4,,,
0-20000-0-11723,SRA,1964,08,07:00,SUM,80.4,,,
0-20000-0-11723,SRA,1964,09,07:00,MAX,6.4,,,
0-20000-0-11723,SRA,1964,09,07:00,SUM,18.3,,,
0-20000-0-11723,SRA,1964,10,07:00,MAX,25.3,,,
0-20000-0-11723,SRA,1964,10,07:00,SUM,109.5,,,
0-20000-0-11723,SRA,1964,11,07:00,MAX,2.6,,,
0-20000-0-11723,SRA,1964,11,07:00,SUM,12.4,,,
0-20000-0-11723,SRA,1964,12,07:00,MAX,4.9,,,
0-20000-0-11723,SRA,1964,12,07:00,SUM,26.8,,,
0-20000-0-11723,SRA,1965,01,07:00,MAX,7.2,,,
0-20000-0-11723,SRA,1965,01,07:00,SUM,32.8,,,
0-20000-0-11723,SRA,1965,02,07:00,MAX,2.4,,,
0-20000-0-11723,SRA,1965,02,07:00,SUM,7.4,,,
0-20000-0-11723,SRA,1965,03,07:00,MAX,10.0,,,
0-20000-0-11723,SRA,1965,03,07:00,SUM,23.7,,,
0-20000-0-11723,SRA,1965,04,07:00,MAX,20.3,,,
0-20000-0-11723,SRA,1965,04,07:00,SUM,61.4,,,
0-20000-0-11723,SRA,1965,05,07:00,MAX,11.3,,,
0-20000-0-11723,SRA,1965,05,07:00,SUM,63.8,,,
0-20000-0-11723,SRA,1965,06,07:00,MAX,31.5,,,
0-20000-0-11723,SRA,1965,06,07:00,SUM,76.9,,,
0-20000-0-11723,SRA,1965,07,07:00,MAX,21.7,,,
0-20000-0-11723,SRA,1965,07,07:00,SUM,82.2,,,
0-20000-0-11723,SRA,1965,08,07:00,MAX,21.8,,,
0-20000-0-11723,SRA,1965,08,07:00,SUM,56.6,,,
0-20000-0-11723,SRA,1965,09,07:00,MAX,8.6,,,
0-20000-0-11723,SRA,1965,09,07:00,SUM,26.6,,,
0-20000-0-11723,SRA,1965,10,07:00,MAX,3.4,,,
0-20000-0-11723,SRA,1965,10,07:00,SUM,6.8,,,
0-20000-0-11723,SRA,1965,11,07:00,MAX,8.6,,,
0-20000-0-11723,SRA,1965,11,07:00,SUM,25.1,,,
0-20000-0-11723,SRA,1965,12,07:00,MAX,8.1,,,
0-20000-0-11723,SRA,1965,12,07:00,SUM,47.2,,,
0-20000-0-11723,SRA,1966,01,07:00,MAX,1.7,,,
0-20000-0-11723,SRA,1966,01,07:00,SUM,8.8,,,
0-20000-0-11723,SRA,1966,02,07:00,MAX,8.9,,,
0-20000-0-11723,SRA,1966,02,07:00,SUM,32.3,,,
0-20000-0-11723,SRA,1966,03,07:00,MAX,6.6,,,
0-20000-0-11723,SRA,1966,03,07:00,SUM,16.4,,,
0-20000-0-11723,SRA,1966,04,07:00,MAX,10.6,,,
0-20000-0-11723,SRA,1966,04,07:00,SUM,37.3,,,
0-20000-0-11723,SRA,1966,05,07:00,MAX,15.8,,,
0-20000-0-11723,SRA,1966,05,07:00,SUM,51.2,,,
0-20000-0-11723,SRA,1966,06,07:00,MAX,26.4,,,
0-20000-0-11723,SRA,1966,06,07:00,SUM,122.7,,,
0-20000-0-11723,SRA,1966,07,07:00,MAX,40.8,,,
0-20000-0-11723,SRA,1966,07,07:00,SUM,129.1,,,
0-20000-0-11723,SRA,1966,08,07:00,MAX,17.5,,,
0-20000-0-11723,SRA,1966,08,07:00,SUM,69.6,,,
0-20000-0-11723,SRA,1966,09,07:00,MAX,30.8,,,
0-20000-0-11723,SRA,1966,09,07:00,SUM,38.6,,,
0-20000-0-11723,SRA,1966,10,07:00,MAX,8.2,,,
0-20000-0-11723,SRA,1966,10,07:00,SUM,28.0,,,
0-20000-0-11723,SRA,1966,11,07:00,MAX,5.8,,,
0-20000-0-11723,SRA,1966,11,07:00,SUM,30.7,,,
0-20000-0-11723,SRA,1966,12,07:00,MAX,9.8,,,
0-20000-0-11723,SRA,1966,12,07:00,SUM,46.0,,,
0-20000-0-11723,SRA,1967,01,07:00,MAX,4.1,,,
0-20000-0-11723,SRA,1967,01,07:00,SUM,13.3,,,
0-20000-0-11723,SRA,1967,02,07:00,MAX,3.9,,,
0-20000-0-11723,SRA,1967,02,07:00,SUM,16.5,,,
0-20000-0-11723,SRA,1967,03,07:00,MAX,4.4,,,
0-20000-0-11723,SRA,1967,03,07:00,SUM,17.7,,,
0-20000-0-11723,SRA,1967,04,07:00,MAX,8.5,,,
0-20000-0-11723,SRA,1967,04,07:00,SUM,18.6,,,
0-20000-0-11723,SRA,1967,05,07:00,MAX,15.6,,,
0-20000-0-11723,SRA,1967,05,07:00,SUM,45.1,,,
0-20000-0-11723,SRA,1967,06,07:00,MAX,16.5,,,
0-20000-0-11723,SRA,1967,06,07:00,SUM,58.2,,,
0-20000-0-11723,SRA,1967,07,07:00,MAX,21.8,,,
0-20000-0-11723,SRA,1967,07,07:00,SUM,66.3,,,
0-20000-0-11723,SRA,1967,08,07:00,MAX,5.8,,,
0-20000-0-11723,SRA,1967,08,07:00,SUM,15.8,,,
0-20000-0-11723,SRA,1967,09,07:00,MAX,23.7,,,
0-20000-0-11723,SRA,1967,09,07:00,SUM,89.6,,,
0-20000-0-11723,SRA,1967,10,07:00,MAX,4.7,,,
0-20000-0-11723,SRA,1967,10,07:00,SUM,16.0,,,
0-20000-0-11723,SRA,1967,11,07:00,MAX,7.4,,,
0-20000-0-11723,SRA,1967,11,07:00,SUM,26.1,,,
0-20000-0-11723,SRA,1967,12,07:00,MAX,6.5,,,
0-20000-0-11723,SRA,1967,12,07:00,SUM,28.6,,,
0-20000-0-11723,SRA,1968,01,07:00,MAX,11.2,,,
0-20000-0-11723,SRA,1968,01,07:00,SUM,30.7,,,
0-20000-0-11723,SRA,1968,02,07:00,MAX,7.5,,,
0-20000-0-11723,SRA,1968,02,07:00,SUM,19.6,,,
0-20000-0-11723,SRA,1968,03,07:00,MAX,4.0,,,
0-20000-0-11723,SRA,1968,03,07:00,SUM,14.0,,,
0-20000-0-11723,SRA,1968,04,07:00,MAX,8.0,,,
0-20000-0-11723,SRA,1968,04,07:00,SUM,26.4,,,
0-20000-0-11723,SRA,1968,05,07:00,MAX,24.4,,,
0-20000-0-11723,SRA,1968,05,07:00,SUM,57.0,,,
0-20000-0-11723,SRA,1968,06,07:00,MAX,18.6,,,
0-20000-0-11723,SRA,1968,06,07:00,SUM,56.4,,,
0-20000-0-11723,SRA,1968,07,07:00,MAX,21.0,,,
0-20000-0-11723,SRA,1968,07,07:00,SUM,68.5,,,
0-20000-0-11723,SRA,1968,08,07:00,MAX,18.3,,,
0-20000-0-11723,SRA,1968,08,07:00,SUM,128.4,,,
0-20000-0-11723,SRA,1968,09,07:00,MAX,15.4,,,
0-20000-0-11723,SRA,1968,09,07:00,SUM,27.2,,,
0-20000-0-11723,SRA,1968,10,07:00,MAX,10.6,,,
0-20000-0-11723,SRA,1968,10,07:00,SUM,27.5,,,
0-20000-0-11723,SRA,1968,11,07:00,MAX,27.0,,,
0-20000-0-11723,SRA,1968,11,07:00,SUM,53.3,,,
0-20000-0-11723,SRA,1968,12,07:00,MAX,3.6,*,,
0-20000-0-11723,SRA,1968,12,07:00,SUM,11.7,,,
0-20000-0-11723,SRA,1969,01,07:00,MAX,8.4,,,
0-20000-0-11723,SRA,1969,01,07:00,SUM,30.5,,,
0-20000-0-11723,SRA,1969,02,07:00,MAX,5.2,,,
0-20000-0-11723,SRA,1969,02,07:00,SUM,26.8,,,
0-20000-0-11723,SRA,1969,03,07:00,MAX,13.6,,,
0-20000-0-11723,SRA,1969,03,07:00,SUM,34.2,,,
0-20000-0-11723,SRA,1969,04,07:00,MAX,2.3,,,
0-20000-0-11723,SRA,1969,04,07:00,SUM,4.8,,,
0-20000-0-11723,SRA,1969,05,07:00,MAX,24.4,,,
0-20000-0-11723,SRA,1969,05,07:00,SUM,89.4,,,
0-20000-0-11723,SRA,1969,06,07:00,MAX,23.9,,,
0-20000-0-11723,SRA,1969,06,07:00,SUM,91.4,,,
0-20000-0-11723,SRA,1969,07,07:00,MAX,7.1,,,
0-20000-0-11723,SRA,1969,07,07:00,SUM,25.6,,,
0-20000-0-11723,SRA,1969,08,07:00,MAX,16.9,,,
0-20000-0-11723,SRA,1969,08,07:00,SUM,83.9,,,
0-20000-0-11723,SRA,1969,09,07:00,MAX,4.6,,,
0-20000-0-11723,SRA,1969,09,07:00,SUM,7.1,,,
0-20000-0-11723,SRA,1969,10,07:00,MAX,3.3,,,
0-20000-0-11723,SRA,1969,10,07:00,SUM,6.0,,,
0-20000-0-11723,SRA,1969,11,07:00,MAX,18.5,,,
0-20000-0-11723,SRA,1969,11,07:00,SUM,47.8,,,
0-20000-0-11723,SRA,1969,12,07:00,MAX,4.1,,,
0-20000-0-11723,SRA,1969,12,07:00,SUM,20.4,,,
0-20000-0-11723,SRA,1970,01,07:00,MAX,3.6,,,
0-20000-0-11723,SRA,1970,01,07:00,SUM,12.6,,,
0-20000-0-11723,SRA,1970,02,07:00,MAX,13.9,,,
0-20000-0-11723,SRA,1970,02,07:00,SUM,64.9,,,
0-20000-0-11723,SRA,1970,03,07:00,MAX,11.1,,,
0-20000-0-11723,SRA,1970,03,07:00,SUM,37.2,,,
0-20000-0-11723,SRA,1970,04,07:00,MAX,13.7,,,
0-20000-0-11723,SRA,1970,04,07:00,SUM,38.8,,,
0-20000-0-11723,SRA,1970,05,07:00,MAX,1.5,,,
0-20000-0-11723,SRA,1970,05,07:00,SUM,5.9,,,
0-20000-0-11723,SRA,1970,06,07:00,MAX,82.1,,,
0-20000-0-11723,SRA,1970,06,07:00,SUM,165.5,,,
0-20000-0-11723,SRA,1970,07,07:00,MAX,26.5,,,
0-20000-0-11723,SRA,1970,07,07:00,SUM,101.8,,,
0-20000-0-11723,SRA,1970,08,07:00,MAX,48.3,,,
0-20000-0-11723,SRA,1970,08,07:00,SUM,115.7,,,
0-20000-0-11723,SRA,1970,09,07:00,MAX,4.7,*,,
0-20000-0-11723,SRA,1970,09,07:00,SUM,17.8,,,
0-20000-0-11723,SRA,1970,10,07:00,MAX,10.1,,,
0-20000-0-11723,SRA,1970,10,07:00,SUM,31.6,,,
0-20000-0-11723,SRA,1970,11,07:00,MAX,26.6,,,
0-20000-0-11723,SRA,1970,11,07:00,SUM,74.3,,,
0-20000-0-11723,SRA,1970,12,07:00,MAX,5.5,,,
0-20000-0-11723,SRA,1970,12,07:00,SUM,20.1,,,
0-20000-0-11723,SRA,1971,01,07:00,MAX,6.5,,,
0-20000-0-11723,SRA,1971,01,07:00,SUM,18.8,,,
0-20000-0-11723,SRA,1971,02,07:00,MAX,7.2,,,
0-20000-0-11723,SRA,1971,02,07:00,SUM,17.9,,,
0-20000-0-11723,SRA,1971,03,07:00,MAX,15.1,,,
0-20000-0-11723,SRA,1971,03,07:00,SUM,36.5,,,
0-20000-0-11723,SRA,1971,04,07:00,MAX,19.6,,,
0-20000-0-11723,SRA,1971,04,07:00,SUM,33.2,,,
